x, y, z
26203.10,3034.15,98.02
26222.46,3024.28,102.39
26236.63,3019.26,57.67
26227.79,3054.78,136.31
26224.27,3039.20,70.57
26252.79,3027.79,196.21
26242.05,3046.39,-66.56
26255.90,3028.44,39.25
26217.73,3057.75,81.39
26246.94,3030.66,58.20
26268.69,3042.19,27.61
26219.98,3035.15,88.56
26215.54,3037.29,177.25
26249.48,3037.55,-14.61
26255.03,3025.35,34.23
26255.52,3032.88,98.11
26238.52,3024.22,73.32
26217.14,3039.43,37.20
26238.20,3053.32,17.33
26239.53,3011.24,25.64
26260.04,3031.12,77.42
26201.41,3053.97,-47.06
26207.31,3041.33,139.10
26241.80,3044.17,173.07
26208.60,3024.67,31.00
26223.02,3046.79,58.83
26185.57,3046.90,177.78
26226.72,3043.78,75.25
26231.09,3030.89,59.36
26220.42,3044.38,62.69
26218.49,3026.94,21.93
26233.31,3018.76,150.51
26245.37,3020.00,130.15
26236.10,3007.81,4.52
26240.26,3041.43,79.05
26233.88,3057.88,30.19
26234.92,3027.26,34.54
26236.37,3040.18,8.27
26225.04,3036.39,-9.75
26198.14,3036.38,70.88
26231.91,3020.02,-78.28
26193.40,3047.91,100.23
26231.85,3027.70,37.81
26212.77,3027.20,191.46
26239.26,3003.41,64.10
26218.73,3025.09,61.22
26237.60,3017.89,-70.84
26230.21,3024.48,13.40
26240.02,3003.11,-1.59
26204.08,3016.75,-9.75
26238.29,2982.58,-32.27
26226.88,3010.46,72.98
26219.32,3017.10,104.11
26235.76,3049.81,99.77
26215.41,3019.88,-66.48
26223.97,3057.28,42.12
26245.17,3038.05,24.00
26233.86,3035.22,131.25
26218.53,3027.62,92.53
26230.95,3041.76,124.64
26225.04,3033.39,50.52
26209.88,3023.49,437.96
26233.02,3012.70,79.32
26228.72,3031.96,48.91
26221.46,3041.91,71.03
26236.29,3033.66,98.29
26236.65,3015.96,112.28
26189.71,3039.68,-2.02
26219.50,3033.74,117.07
26225.61,3014.95,29.45
26230.49,3029.25,65.93
26234.13,3020.51,75.83
26219.94,3026.97,56.55
26230.99,3027.38,82.69
26230.03,3020.42,180.91
26229.62,3024.78,-111.90
26215.40,3030.26,93.38
26248.47,3019.45,102.24
26238.74,3023.64,116.02
26199.32,3009.07,128.70
26218.31,3029.12,52.06
26232.49,3044.76,36.07
26221.66,3026.66,87.46
26208.37,3023.54,158.41
26207.29,3023.26,135.39
26215.71,3028.36,-93.30
26197.11,3039.09,146.06
26206.76,3003.92,-86.96
26206.04,3032.77,-26.66
26208.18,3005.66,144.27
27306.38,4527.09,-101.62
26218.94,3025.76,0.09
26227.70,3017.82,27.73
26237.54,3017.86,43.28
26226.61,3019.50,-107.66
26225.56,3034.89,73.31
26226.10,3002.98,53.97
26258.97,3024.76,113.98
27851.31,3705.21,-231.53
26220.91,3029.25,102.24
26224.57,3029.32,-45.19
26252.39,3015.44,95.54
26223.17,3025.28,-59.46
26254.11,3012.88,146.17
26262.32,3047.96,130.50
26221.37,3018.59,244.36
26199.43,3040.56,74.98
26226.49,3014.81,18.20
26235.80,3017.63,140.97
26235.05,3007.51,73.87
26225.64,3046.23,64.38
26242.63,3020.61,112.96
26224.49,3021.92,46.65
26267.28,3027.43,112.44
26258.69,3040.39,66.06
26217.54,3050.17,-38.76
26240.00,3025.44,168.91
26242.44,3033.23,234.46
26229.20,3024.13,56.21
26257.50,3006.51,84.73
26234.04,3010.94,112.87
26215.30,3022.99,74.86
26237.35,3036.77,73.35
26240.46,3003.79,31.22
26226.28,3026.26,133.50
26234.22,3004.64,169.44
26248.99,3033.98,111.72
26242.32,3026.46,67.88
26232.27,3020.08,77.53
26226.02,2989.28,-39.45
26258.63,3034.16,104.75
26223.98,3017.39,115.50
26227.05,3024.93,85.11
26181.35,3027.17,-103.90
26220.65,3023.32,-119.58
26250.71,3033.15,55.08
26218.48,3035.24,199.93
26200.50,3026.35,-198.43
26219.29,3041.73,-56.93
26237.62,3031.90,48.19
26246.37,3027.76,56.67
26231.61,3025.64,148.60
26190.17,3046.14,-14.54
26240.75,3014.23,-31.60
26214.27,3010.18,181.62
26215.13,3009.96,110.24
26210.23,3033.04,45.56
26174.83,3041.14,45.81
26195.85,3021.93,91.40
26220.91,3017.41,120.35
26184.10,3031.27,67.15
26198.24,3016.79,172.73
26186.24,3042.33,228.99
26189.40,3051.90,186.05
26228.40,3033.82,68.12
26201.45,3021.37,50.45
27304.49,4463.25,272.06
26225.20,3000.29,102.61
26223.96,3035.34,90.21
26211.94,3027.84,143.26
26195.17,3041.91,-6.40
26214.35,3049.57,80.06
26190.48,3028.05,187.52
26195.82,3025.37,15.36
26191.02,3019.21,35.58
26215.15,3049.96,65.79
26227.71,3024.97,35.08
26187.16,3020.59,22.18
26188.33,3036.58,164.62
26220.60,3049.22,218.34
26188.62,3012.91,20.65
26191.04,3053.81,82.88
26211.94,3032.51,73.20
26228.28,3049.11,50.33
26244.17,3039.04,23.91
26200.05,3043.72,30.95
27277.10,4534.03,189.47
26188.26,3008.77,-235.58
26194.06,3015.32,-49.18
26208.42,3026.31,115.35
26182.88,3043.51,9.89
26213.37,3040.19,54.42
26205.66,3032.19,-7.68
26190.84,3023.75,27.05
26178.02,3053.03,-64.89
26190.54,3029.06,57.99
26201.93,3017.35,3.84
26211.91,3034.58,73.80
26211.95,3019.18,231.03
27270.82,4500.65,415.71
26188.29,3022.30,6.84
26210.41,3038.41,50.97
26206.16,3034.43,-13.81
26249.22,2998.93,72.49
26202.07,3040.88,-41.59
26220.22,3034.35,134.08
26181.71,3022.59,87.07
26162.49,3046.80,122.67
26205.22,3033.33,129.78
26214.16,3042.97,-40.11
26194.85,3046.26,16.84
26178.04,3042.93,-133.04
26194.70,3039.61,-8.03
26180.83,3064.47,2.18
26190.76,3047.30,81.93
26210.79,3067.20,76.43
26143.20,3033.62,123.30
26207.31,3019.56,144.84
27331.84,4488.11,48.47
26208.01,3026.22,40.07
26183.80,3035.90,325.15
26215.63,3020.04,-200.66
26205.13,3036.54,114.46
26208.46,3061.65,115.56
26190.81,3045.40,45.17
26193.99,3062.62,-80.59
26203.54,3050.20,63.19
26205.79,3041.86,47.81
26170.32,3023.84,126.16
26210.80,3056.71,28.61
26201.36,3042.62,84.63
27196.14,4501.92,228.95
26214.49,3043.18,31.05
26221.15,3046.10,10.06
26162.51,3052.67,-104.61
26220.12,3048.39,137.27
26231.57,3040.93,238.14
26207.62,3037.84,133.38
26206.25,3067.10,109.06
27288.82,4486.62,400.67
26210.39,3032.73,209.73
26203.49,3029.72,68.16
26198.19,3066.78,242.43
26230.68,3019.92,79.59
26222.33,3045.87,58.12
26233.21,3034.14,50.32
27320.08,4491.33,102.13
26241.23,3043.39,180.89
26236.36,3042.81,71.81
26247.86,3045.97,83.94
26244.45,3028.88,86.50
26220.29,3043.47,54.49
26199.19,3020.19,189.39
26242.85,3043.83,184.67
26231.21,3051.45,67.78
26189.54,3038.15,183.09
